StudentID,Name,Sex,Math_Score,English_Score,Science_Score,Social_Score
101,John,M,75,82,90,59
102,Jane,F,88,94,78,77
103,Michael,M,92,85,88,100
104,Emily,F,78,90,85,67
105,David,M,95,92,89,10
106,Jonhny,M,90,20,20,50
107,Chan,F,89,79,69,50
108,Alice,F,80,88,75,92
109,Bob,M,70,75,82,80
110,Sophia,F,96,93,94,86
111,Oliver,M,85,78,92,20
112,Emma,F,91,89,87,99
113,Aiden,M,78,94,82,100
114,Grace,F,86,90,88,29
115,Liam,M,94,85,91,88
116,Ava,F,80,92,89,99
117,William,M,88,79,75,100
118,Sophie,F,95,88,90,58
119,James,M,75,86,80,60
120,Ella,F,92,93,94,82
