StudentID,Name,Sex,Math_Score,English_Score,Science_Score,Social_Score
101,John,M,54,71,58,66
102,Jane,F,95,78,66,68
103,Michael,M,75,55,66,75
104,Emily,F,44,60,61,53
105,David,M,66,66,91,91
106,Jonhny,M,75,63,74,69
107,Chan,F,61,57,40,71
108,Alice,F,51,56,72,62
109,Bob,M,42,95,73,47
110,Sophia,F,63,45,71,51
111,Oliver,M,64,45,88,68
112,Emma,F,91,68,63,71
113,Aiden,M,60,49,42,69
114,Grace,F,72,80,76,83
115,Liam,M,50,97,91,86
116,Ava,F,40,63,79,54
117,William,M,94,50,43,57
118,Sophie,F,98,81,58,49
119,James,M,80,62,56,43
120,Ella,F,64,42,89,53
