StudentID,Name,Sex,Math_Score,English_Score,Science_Score,Social_Score
101,John,M,92,93,94,82
102,Jane,F,75,86,80,60
103,Michael,M,95,88,90,58
104,Emily,F,88,79,75,100
105,David,M,80,92,89,99
106,Jonhny,M,94,85,91,88
107,Chan,F,86,90,88,29
108,Alice,F,78,94,82,100
109,Bob,M,91,89,87,99
110,Sophia,F,85,78,92,20
111,Oliver,M,96,93,94,86
112,Emma,F,70,75,82,80
113,Aiden,M,80,88,75,92
114,Grace,F,89,79,69,50
115,Liam,M,90,20,20,50
116,Ava,F,95,92,89,10
117,William,M,78,90,85,67
118,Sophie,F,92,85,88,100
119,James,M,88,94,78,77
120,Ella,F,75,82,90,59
